"Catégorie";"ID";"Label IEATC";"Correspondance MTC";"Patterns directs";"Expressions sémantiques reconnues"
"1 — Famille diagnostique";"vide_qi";"Vide de Qi / Tchi";"Qi Xu (气虚)";"vide de qi | vide qi | qi vide | vide de tchi | tchi vide | insuffisance qi | qi insuffisant | qi deficient | insuffisance energetique | energie insuffisante | manque de qi | qi affaibli | qi epuise";"rate s affaiblit | rate s epuise | rate ne produit plus | rate ne transforme plus | rate ne transporte plus | rate deficiente | rate manque de qi | qi de la rate qui faiblit | terre qui s affaiblit | terre deficiente | foyer moyen s affaiblit | digestion affaiblie | digestion deficiente | digestion ne fonctionne plus | rate fatiguee | rate qui se vide | rate en vide | rate epuisee | energie generale insuffisante | vide energetique general | epuisement global | terrain vide | terrain energetique appauvri | manque d energie general | epuisement energetique | energie appauvrie | grande fatigue energetique | energie vitale | foie en vide de qi | foie energetiquement vide | foie manque de qi | qi du poumon bloque | qi du coeur bloque | tchi insuffisant | tchi en vide | tchi epuise | manque de tchi | souci | soucis | inquietude | surmenage intellectuel | reflexion excessive | la rate ne transforme plus | la rate ne transporte plus | la rate ne monte plus | le qi de la rate ne monte plus | la rate ne retient plus le sang | la rate ne produit plus le sang | la terre ne transforme plus | le poumon ne diffuse plus | le poumon ne fait plus descendre | le poumon ne gouverne plus le qi | diffusion du poumon insuffisante | le metal ne descend plus | le rein ne retient plus | le coeur ne gouverne plus le sang | le coeur ne propulse plus | prolapsus | ptose | descente d organe | les chairs ne tiennent plus | qi ne monte plus | langue pale | langue pale et gonflée | teint pale | teint jaune"
"1 — Famille diagnostique";"vide_sang";"Vide de Sang (Xue Xu)";"Xue Xu (血虚)";"vide de sang | vide sang | sang vide | insuffisance sang | sang insuffisant | xue vide | sang non nourri | carence sanguine | sang deficient";"foie ne nourrit plus | foie manque de sang | foie n est plus nourri | sang du foie insuffisant | sang du foie appauvri | foie mal alimente | foie manque de substance | sang insuffisant pour le foie | foie non alimente | bois non nourri en sang | crampes nocturnes | crampes la nuit | jambes crampe nuit | crampes aux jambes la nuit | ongles cassants | ongles fragiles | ongles stries | yeux secs et fatigues | vision trouble le soir | regles pales | regles peu abondantes | tendons non nourris | tendinopathie sur vide de foie | xue | regles sombres | le foie ne gouverne plus les tendons | le foie ne stocke plus le sang | la rate ne produit plus le sang | le coeur ne gouverne plus le sang | langue pale | teint pale | teint terne"
"1 — Famille diagnostique";"vide_yang";"Vide de Yang";"Yang Xu (阳虚)";"vide de yang | vide yang | yang vide | insuffisance yang | yang insuffisant | yang deficient | carence yang | manque de yang | yang manquant | yang general insuffisant";"yang du rein s epuise | yang du rein faiblit | yang du rein ne suffit plus | yang du rein diminue | rein manque de yang | rein yang qui faiblit | yang renal insuffisant | yang renal en baisse | yang du rein qui se vide | rein ne rechauffe plus | rein n a plus assez de yang | yang renal epuise | carence yang du rein | rein froid | froid au rein | yang du rein ne rechauffe plus | yang du rein trop faible | yang renal trop faible | froid lombaire | lombes froides | dos froid dans le bas | urines claires et abondantes | urines claires | chaleur apparente | yang apparent par vide de yin | yang qui flotte par manque de yin | yang sans racine yin | faux yang | chaleur fictive | chaleur qui monte par vide | yang monte par manque de yin | inflammation locale sur vide | chaleur locale sur fond de vide | chaleur locale sur vide yang | rougeur locale sur terrain de vide yang | terrain energetique appauvri | yang general qui s effondre | yang tres bas | yang apparent de vb | yang apparent vb | yang apparent du foie | manque de volonte | le rein ne gouverne plus l eau | le rein ne rechauffe plus la rate | le feu du ming men ne rechauffe plus | tou mo insuffisant | yang apparent du rein | yang monte car le yin ne retient plus | langue rouge sans enduit | langue pale | langue pale et gonflée | enduit blanc | teint pale"
"1 — Famille diagnostique";"vide_yin";"Vide de Yin";"Yin Xu (阴虚)";"vide de yin | vide yin | yin vide | insuffisance yin | yin insuffisant | yin deficient | carence yin | manque de yin | yin manquant | yin insuffisant";"yin du rein s epuise | yin du rein faiblit | yin du rein diminue | rein manque de yin | yin renal insuffisant | yin renal epuise | rein n a plus assez de yin | essence du rein insuffisante | rein yin qui se vide | eau du rein insuffisante | eau renale insuffisante | carence yin du rein | yin renal qui diminue | yin renal qui se tarit | substance yin du rein insuffisante | eau insuffisante pour ancrer | chaleur le soir | chaleur en fin de journee | chaleur la nuit | chaleur vesperal | sueurs la nuit | transpiration nocturne | sueurs nocturnes | bourdonnements vide | oreilles bourdonnement par vide | chaleur qui monte par vide | yeux secs et fatigues | vertiges par manque de yin | substance yin insuffisante | yin qui s epuise | yin appauvri | yin diminue | manque de yin | yin se tarit | carence en yin | yin epuise | tendons non nourris | jenn mo fragilise | coeur et rein ne communiquent plus | l eau ne monte plus vers le feu | yang apparent du rein | faux yang du rein | chaleur sur vide de yin | feu sur vide de yin | yang monte car le yin ne retient plus | langue rouge sans enduit | osteoporose"
"1 — Famille diagnostique";"feu_vide";"Yang apparent / Feu apparent (Xu Huo)";"Xu Huo — Feu du vide (虚火)";"feu du vide | chaleur de vide | feu de vide | xu huo | chaleur xu | chaleur vide | vide avec chaleur | chaleur d origine xu | yang relatif ascendant | chaleur vesperal | chaleur le soir | chaleur en fin de journee | yang apparent | faux yang | yang flottant | yang non ancre | yang sans racine | yang qui flotte | chaleur apparente | chaleur fausse | jia yang | yin ne peut plus ancrer | yang monte par manque de yin";"yang non ancre | yang flottant | yang qui flotte | yang du foie non ancre | yang du foie flotte | yang non ancre par le yin | yang sans ancrage yin | yang libre sans controle | chaleur le soir | chaleur en fin de journee | chaleur la nuit | chaleur vesperal | sueurs la nuit | sueurs nocturnes | chaleur apparente | chaleur par manque de yin | chaleur liee au vide de yin | yang apparent par vide de yin | yang qui flotte par manque de yin | vide de yin avec chaleur | yang sans racine yin | chaleur du vide | faux yang | chaleur fictive | chaleur qui monte par vide | yang monte par manque de yin | yang apparent de vb | yang apparent vb | faux yang de vb | faux yang vb | yang flottant de vb | yang non ancre vb | yang de vb qui monte | yang vb montant | yang apparent du foie | yang apparent foie | faux yang du foie | yang flottant du foie | yang apparent du rein | faux yang du rein | chaleur sur vide de yin | feu sur vide de yin | yang monte car le yin ne retient plus | ancrer le yang | le yang doit etre ancre | yang a ancrer | langue rouge sans enduit"
"2 — Syndrome";"bois_envahit_terre";"Bois envahit Terre (cycle Ko pathologique)";;"bois envahit terre | foie envahit rate | bois sur terre | ko pathologique | cycle ko pathologique | foie vb envahit | bois domine terre | rate affaiblie par le foie | foie agresse la rate | conflit bois terre | stress crise foie rate | chaleur du bois debordant | bois f vb envahit | terre fragilisee | rate fragilisee secondairement | terre affaiblie secondairement";"foie agresse la rate | foie envahit la rate | stress affecte la digestion | colere affecte la digestion | emotions perturbent la rate | foie perturbe la rate | foie attaque la rate | tension emotionnelle perturbe la digestion | rate fragilisee par le foie | foie bois en exces affecte la terre | stress perturbe la digestion | colere affecte l estomac"
"2 — Syndrome";"chaleur_estomac";"Chaleur de l'Estomac";;"chaleur de l estomac | chaleur estomac | estomac en chaleur | feu de l estomac | estomac chaud | feu estomac | chaleur dans l estomac | brulures d estomac";"reflux gastrique"
"2 — Syndrome";"chaleur_poumon";"Chaleur du Poumon";;"chaleur du poumon | poumon en chaleur | feu du poumon | chaleur poumon | poumon chaud | chaleur metal | chaleur dans le poumon | inflammation poumon | poumon envahi par la chaleur";
"2 — Syndrome";"cycle_sheng_bois_feu";"Cycle Cheng Bois → Feu brisé";;"bois ne nourrit plus feu | cycle cheng bois feu | cycle sheng bois feu | cascade eau bois feu | bois vers feu defaillant | cycle eau bois feu";
"2 — Syndrome";"cycle_sheng_eau_bois";"Cycle Cheng Eau → Bois brisé (Rein ne nourrit plus Foie)";;"eau ne nourrit plus bois | cycle cheng eau bois | cycle sheng eau bois | cheng eau vers bois | sheng eau vers bois | rein ne nourrit plus foie | eau insuffisante bois | insuffisance eau bois | cycle cheng brise | cycle sheng brise | eau vers bois defaillant | bois mal nourri par l eau | foie mal nourri par le rein | eau ne soutient plus le bois | foie non nourri par le rein | rein ne soutient plus le foie | insuffisance eau vers bois";"rein ne soutient plus le foie | rein n alimente plus le foie | eau ne monte plus vers le bois | rein ne peut plus nourrir le foie | foie mal nourri par le rein | bois mal nourri par l eau | rein n arrive pas a nourrir le foie | rein ne peut plus soutenir le foie"
"2 — Syndrome";"cycle_sheng_feu_terre";"Cycle Cheng Feu → Terre brisé (Cœur ne nourrit plus Rate)";;"feu ne nourrit plus terre | cycle cheng feu terre | cycle sheng feu terre | coeur ne nourrit plus la rate | feu vers terre defaillant | cascade feu terre | coeur rate cycle cheng | feu insuffisant pour la terre";"coeur ne soutient plus la rate | feu ne nourrit plus la terre"
"2 — Syndrome";"cycle_sheng_metal_eau";"Cycle Cheng Métal → Eau brisé (Poumon ne nourrit plus Rein)";;"metal ne nourrit plus eau | cycle cheng metal eau | cycle sheng metal eau | poumon ne nourrit plus le rein | metal vers eau defaillant | cascade metal eau | poumon rein cycle cheng | diffusion du poumon vers le rein insuffisante | poumon ne soutient plus le rein";"poumon ne soutient plus le rein"
"2 — Syndrome";"cycle_sheng_terre_metal";"Cycle Cheng Terre → Métal brisé (Rate ne nourrit plus Poumon)";;"terre ne nourrit plus metal | cycle cheng terre metal | cycle sheng terre metal | rate ne nourrit plus le poumon | terre vers metal defaillant | cascade terre metal | rate poumon cycle cheng | digestion ne soutient plus le poumon | rate ne soutient plus poumon";"rate ne soutient plus le poumon | rate n alimente plus le poumon"
"2 — Syndrome";"cycle_ko_inverse";"Cycle Raé (Ko inversé / Rébellion)";;"cycle rae | rae | cycle de rebellion | cycle ko inverse | ko inverse | ko brise | ko inversee | relation ko brisee | cycle ko perturbe | rebellion ko | element qui se retourne | invasion ko";
"2 — Syndrome";"diarrhees_matinales_mingmen";"Diarrhées matinales — Ming Men (Yang Ming)";;"diarrhees matinales | diarrhee au petit matin | diarrhees le matin | yang ming sans stimulus | gros intestin non active le matin | yang ming perturbe | souffles yang ne montent plus | yang ne monte pas le matin";"diarrhee 5h matin | diarrhee tot le matin | va a la selle le matin | selles molles le matin | diarrhee a l aube | diarrhee entre 5h et 7h | transit le matin de bonne heure"
"2 — Syndrome";"rein_coeur_dysharmonie";"Dysharmonie Cœur–Rein (axe Eau-Feu brisé)";;"dysharmonie coeur rein | axe coeur rein brise | axe eau feu brise | coeur et rein ne communiquent plus | coeur rein deconnectes | eau ne monte plus vers le feu | feu ne descend plus vers l eau | rein coeur non connectes | dysharmonie eau feu";"coeur et rein ne communiquent plus | le feu et l eau ne communiquent plus | axe coeur rein brise | axe eau feu brise | l eau ne monte plus vers le feu | le feu ne descend plus vers l eau"
"2 — Syndrome";"exces_yin_foyer_moyen";"Excès de Yin au Foyer Moyen (Rate chargée)";;"exces yin foyer moyen | yin foyer moyen excessif | foyer moyen sature | rate surchargee | rate trop forte | rate en exces de yin | plenitude yin foyer moyen | plenitude au foyer moyen | exces de yin au foyer moyen | plenitude de yin au foyer moyen | plenitude yin au foyer moyen | plenitude de yin foyer moyen | exces de yin foyer moyen | yin en exces au foyer moyen | foyer moyen en exces de yin | exces yin au foyer moyen";"foyer moyen trop charge | foyer moyen encombre | foyer moyen bloque | foyer moyen sature de yin | foyer moyen plein | rate surchargee de yin | rate trop pleine | rate pleine | foyer moyen obstrue"
"2 — Syndrome";"feu_foie";"Feu du Foie / Chaleur du Foie";"Gan Huo (肝火)";"feu du foie | chaleur du foie | chaleur foie | chaleur du bois | bois en chaleur | feu foie | foie en feu | foie chaud | plénitude chaleur foie | plenitude chaleur foie";"visage rouge qui monte | rage"
"2 — Syndrome";"feu_monte_au_coeur";"Feu du Foie monte au Cœur";;"feu monte au coeur | yang foie feu coeur | feu foie monte | bois vers feu coeur | chaleur foie coeur | foie feu coeur";
"2 — Syndrome";"vent_interne_foie";"Fong interne du Foie (Gan Feng Nei Dong)";"Gan Feng Nei Dong (肝风内动)";"fong interne du foie | fong du foie | fong interne foie | fong foie | foie fong | fongs du foie | vent interne du foie | vent du foie | gan feng | vent interne foie | foie vent interne | pouls corde arc | vertiges fong interne | vertiges vent interne";"pouls corde et rapide | fong | fongs | fong interne | vertiges par manque de yin | tremblements | tremblements des membres | pouls corde | pouls en corde | pouls tendu | pouls en corde d arc"
"2 — Syndrome";"vent_chaleur_poumon";"Fong-Chaleur envahissant le Poumon";;"vent chaleur poumon | fong chaleur poumon | vent chaleur envahit le poumon | fong chaleur envahit le poumon | invasion vent chaleur | invasion fong chaleur | poumon envahi par le vent chaleur | poumon envahi par le fong chaleur | agression vent chaleur | agression fong chaleur | vent chaleur en surface | fong chaleur en surface";
"2 — Syndrome";"foyer_inferieur_vide_yang";"Foyer Inférieur en vide de Yang";;"foyer inferieur vide de yang | foyer inferieur vide yang | foyer inferieur yang vide | vide yang foyer inferieur | vide de yang au foyer inferieur | yang vide foyer inferieur | foyer inferieur en vide | yang foyer inferieur insuffisant | foyer inferieur insuffisant | foyer inferieur non rechauffe | foyer inferieur froid | foyer inferieur ne retient | yang vide au foyer inferieur | yin et froid vainqueurs";
"2 — Syndrome";"humidite_rate";"Humidité envahissant la Rate";"Pi Shi (脾湿)";"humidite envahit la rate | humidite rate | rate envahie par l humidite | rate sature d humidite | humidite bloque la rate | rate sous l humidite | rate bloquee par l humidite | humidite obstrue rate estomac | humidite foyer moyen | rate sous charge humide | rate chargee en humidite";"teint jaune"
"2 — Syndrome";"hun_perturbe";"Hun perturbé (âme végétative — domaine Foie)";;"hun perturbe | hun instable | hun non ancre | esprit du foie perturbe | hun agite | foie hun | ame vegetative perturbee | hun fragilise | reves perturbants foie | instabilite psychique foie";
"2 — Syndrome";"ren_mai_fragilise";"Jenn Mo (Ren Mai) fragilisé — Yin insuffisant pour ancrer";;"ren mai fragilise | ren mai insuffisant | ren mai vide | jenn mo fragilise | jenn mo insuffisant | jenn mo vide | yin insuffisant pour ancrer | yin de base insuffisant | vaisseau conception fragilise | vc insuffisant";"jenn mo fragilise | jenn mo insuffisant"
"2 — Syndrome";"mingmen_insuffisant";"Ming Men insuffisant — Feu de la Porte de la Vie";;"ming men insuffisant | ming men eteint | feu du ming men | feu de ming men | feu du rein | feu originel insuffisant | porte de la vie | yang du rein ming men | ming men declinant | du mai insuffisant feu";"feu du rein s eteint | feu de la vie s eteint | feu de ming men s eteint | feu originel s eteint | feu du ming men s eteint | ming men ne rechauffe plus | ming men s affaiblit | feu du ming men s affaiblit | ming men eteint | porte de vie insuffisante | le feu du ming men ne rechauffe plus"
"2 — Syndrome";"oreille_rein_shao_yang";"Oreille interne — domaine Rein / Chao Yang";"Er — Oreille / Shen (Rein)";"oreille interne | oreille rein | oreille domaine rein | bourdonnements vide | bourdonnements rein | surdite vide | chao yang oreille | shao yang oreille | tr vb oreille | yang apparent irrite oreille | feu vide irrite oreille";"bourdonnements vide | oreilles bourdonnement par vide"
"2 — Syndrome";"paradoxe_oe_iong";"Paradoxe : Oé plein local / Iong vide général";"Wei Ying Bu He (卫营不和)";"paradoxe yang local | paradoxe local general | vide yang general chaleur locale | oé plenitude iong vide | chaleur locale vide general | iong vide oe plenitude | vide general inflammation locale | oe plenitude iong insuffisante | iong insuffisante oe plenitude | plenitude locale iong insuffisante | oe en plenitude iong vide";"inflammation locale sur vide | chaleur locale sur fond de vide | inflammation en surface sur terrain de vide | chaleur locale sur vide yang | rougeur locale sur terrain de vide yang"
"2 — Syndrome";"po_perturbe";"Po perturbé (âme corporelle — domaine Poumon)";;"po perturbe | po non ancre | esprit du poumon perturbe | po agite | poumon po | ame corporelle perturbee | deuil non resolu | melancolie profonde | tristesse metal | po fragilise";"deuil non fait | tristesse profonde | tristesse | deuil | chagrin | melancolie | nostalgie envahissante"
"2 — Syndrome";"qi_rate_ne_monte_plus";"Qi de la Rate ne monte plus (prolapsus)";;"qi de la rate ne monte plus | rate ne monte plus | qi ne monte plus | prolapsus | ptose | descente d organe | affaissement | rate ne soutient plus | les chairs ne tiennent plus | rate ne retient plus le sang";"la rate ne monte plus | le qi de la rate ne monte plus | la rate ne retient plus le sang | prolapsus | ptose | descente d organe | les chairs ne tiennent plus | qi ne monte plus"
"2 — Syndrome";"rate_non_rechauffee";"Rate non réchauffée par le Feu du Rein";;"rate non rechauffee | rate sans soutien yang | digestion froide | rate non soutenue | rate non soutenue par le feu | foyer moyen non soutenu par le foyer inferieur | foyer moyen non rechauffe | rechauffeur moyen non soutenu | yang insuffisant pour rechauffer | rechauffeur moyen insuffisant | foyer moyen non alimente";"le rein ne rechauffe plus la rate"
"2 — Syndrome";"rebellion_qi_estomac";"Rébellion du Qi de l'Estomac";;"rebellion du qi de l estomac | qi de l estomac rebelle | qi de l estomac ne descend pas | qi estomac qui monte | estomac rebelle | estomac ne fait pas descendre | reflux qi estomac | qi rebelle estomac | nausees par blocage estomac | estomac contre courant | qi estomac en rebellion | estomac ne descend plus | descente estomac perturbee";
"2 — Syndrome";"stagnation_nourriture";"Rétention de nourriture — Estomac surchargé";;"retention de nourriture | stagnation de nourriture | nourriture stagnante | estomac surcharge | aliments qui stagnent | digestion bloquee | accumulation de nourriture | nourriture bloquee | estomac deborde | surchauffe digestive";
"2 — Syndrome";"shen_perturbe";"Shen perturbé (Cœur troublé)";"Shen Bu Ning (神不宁)";"shen perturbe | coeur perturbe | shen trouble | insomnie palpitations | coeur shen | shen agite | perturbation du shen";"esprit perturbe | esprit agite | psychisme perturbe | mental instable | esprit instable | sommeil agite par le shen | coeur qui n ancre plus le shen | shen non ancre | pensees qui s emballent | joie excessive | excitation excessive | manie | agitation mentale | frayeur | le coeur n abrite plus le shen | coeur et rein ne communiquent plus"
