"Catégorie";"ID";"Label IEATC";"Patterns (séparés par |)";"Description"
"Famille diagnostique";"froid_interne";"Froid interne";"froid interne | froid de | froid dans | froid au | invasion de froid | froid pathogene | accumulation de froid | blocage par le froid | manque de chaleur yang";"Froid interne — contraction, douleurs améliorées par la chaleur, selles liquides."
"Famille diagnostique";"humidite";"Humidité";"humidite interne | retention d humidite | accumulation d humidite | humidite de | humidite dans | humidite au | exces d humidite | humidite pathogene | retention humidite | masse d humidite | humidite excessive | charge humide | l humidite | envahi par l humidite | humidite envahissante | humidite stagnante | humidite predominante | terrain humide";"Humidité interne — lourdeur, oedème, selles molles, enduit épais."
"Famille diagnostique";"humidite_chaleur";"Humidité-Chaleur";"humidite chaleur | chaleur humidite | humidite et chaleur | chaleur et humidite | enduit jaune gras | chaleur humide";"Association humidité + chaleur — dysurie, ictère, éruptions, enduit jaune gras."
"Famille diagnostique";"humidite_froid";"Humidité-Froid";"humidite froid | froid humidite | humidite et froid | froid et humidite | froid humide | enduit blanc epais";"Association humidité + froid — douleurs articulaires, lourdeur, membres froids."
"Famille diagnostique";"obstruction_meridien";"Obstruction / Atteinte de méridien";"obstruction du meridien | obstruction meridien | atteinte du meridien | atteinte meridien | meridien obstrue | meridien bloque | meridien atteint | vide du meridien | sequelle meridien | meridien perturbe | meridien insuffisant | circulation meridienne perturbee | obstruction chronique du meridien | obstruction chronique | meridien vb obstrue | meridien foie obstrue | meridien rein obstrue | meridien vb bloque | meridien foie bloque | vide meridien | meridien en vide | stagnation dans le meridien | stagnation locale sur terrain de vide meridien";"Méridien principal (TT) atteint ou obstrué : douleur sur trajet, aggravation nocturne si Yin."
"Famille diagnostique";"plenitude_oe";"Plénitude d\";"oe en plenitude | plenitude d oe | oe en exces | oé en plenitude | wei qi en exces | oé excessif | exces d oe | chaleur de surface | oé locale excessive";"Oé (Wei Qi / énergie défensive) en excès local : chaleur, rougeur, inflammation de surface."
"Famille diagnostique";"secheresse";"Sécheresse";"secheresse interne | secheresse de | secheresse dans | manque de liquides | assechement des | liquides insuffisants | jin ye insuffisants | jin ye vide | manque de jin ye";"Sécheresse — yeux secs, gorge sèche, constipation, peau desséchée."
"Famille diagnostique";"stagnation_sang";"Stagnation de Sang";"stagnation de sang | stagnation sang | sang stagnant | sang bloque | stase sanguine | stase de sang | xue stagnant | stagnation du sang";"Sang bloqué — douleur fixe et lancinante, teint sombre, pouls en corde."
"Famille diagnostique";"vent_externe";"Vent externe";"vent externe | invasion de vent | vent pathogene | agression de vent | vent froid externe | vent chaleur externe";"Invasion de Vent externe — début brusque, symptômes mobiles, crainte du vent."
"Famille diagnostique";"vent_interne";"Fong interne";"fong interne | fong du foie | fong interne du foie | fong | fongs | le fong | les fong | les fongs | un fong | vent interne | vent du foie | vent interne du foie | agitation interne | yang monte en usurpateur | yang ascendant | yang ne descend pas";"Fong interne (du Foie) — IEATC : le Vent s\"
"Famille diagnostique";"vide_iong";"Vide d\";"iong insuffisante | iong vide | vide d iong | vide de iong | ying qi insuffisante | insuffisance iong | iong affaiblie";"Insuffisance de l\"
"Famille diagnostique";"vide_jing";"Vide de Jing / Tsing (Ancestrale)";"vide de jing | vide jing | jing vide | tsing vide | vide de tsing | insuffisance jing | jing epuise | tsing epuise | vide d essence | essence insuffisante | energie ancestrale epuisee | epuisement du jing";"Épuisement de l\"
"Famille diagnostique";"vide_qi";"Vide de Qi / Tchi";"vide de qi | vide qi | qi vide | vide de tchi | tchi vide | insuffisance qi | qi insuffisant | qi deficient | insuffisance energetique | energie insuffisante | manque de qi | qi affaibli | qi epuise";"Insuffisance de Qi (Tchi) — fatigue, essoufflement, voix basse, sueur spontanée."
"Famille diagnostique";"vide_sang";"Vide de Sang (Xue Xu)";"vide de sang | vide sang | sang vide | insuffisance sang | sang insuffisant | xue vide | sang non nourri | carence sanguine | sang deficient";"Insuffisance de Sang — pâleur, vertiges, palpitations, ongles fragiles."
"Famille diagnostique";"vide_yang";"Vide de Yang";"vide de yang | vide yang | yang vide | insuffisance yang | yang insuffisant | yang deficient | carence yang | manque de yang | yang manquant | yang general insuffisant";"Insuffisance de la force Yang — froid, fatigue, pâleur, pouls vide profond."
"Famille diagnostique";"vide_yin";"Vide de Yin";"vide de yin | vide yin | yin vide | insuffisance yin | yin insuffisant | yin deficient | carence yin | manque de yin | yin manquant | yin insuffisant";"Insuffisance de substance Yin — chaleur vespérale, sécheresse, sueurs nocturnes."
"Syndrome";"chaleur_estomac";"Chaleur de l\";"chaleur de l estomac | chaleur estomac | estomac en chaleur | feu de l estomac | estomac chaud | feu estomac | chaleur dans l estomac | brulures d estomac";"Chaleur dans l\"
"Syndrome";"chaleur_poumon";"Chaleur du Poumon";"chaleur du poumon | poumon en chaleur | feu du poumon | chaleur poumon | poumon chaud | chaleur metal | chaleur dans le poumon | inflammation poumon | poumon envahi par la chaleur";"Chaleur dans le Poumon — toux avec expectorations jaunes, fièvre, narines dilatées."
"Syndrome";"cycle_ko_inverse";"Cycle Raé (Ko inversé / Rébellion)";"cycle rae | rae | cycle de rebellion | cycle ko inverse | ko inverse | ko brise | ko inversee | relation ko brisee | cycle ko perturbe | rebellion ko | element qui se retourne | invasion ko";"Cycle Raé (侮 Wǔ) : l\"
"Syndrome";"cycle_sheng_bois_feu";"Cycle Cheng Bois → Feu brisé";"bois ne nourrit plus feu | cycle cheng bois feu | cycle sheng bois feu | cascade eau bois feu | bois vers feu defaillant | cycle eau bois feu";"Le Foie/VB (Bois) n\"
"Syndrome";"cycle_sheng_metal_eau";"Cycle Cheng Métal → Eau brisé (Poumon ne nourrit plus Rein)";"metal ne nourrit plus eau | cycle cheng metal eau | cycle sheng metal eau | poumon ne nourrit plus le rein | metal vers eau defaillant | cascade metal eau | poumon rein cycle cheng | diffusion du poumon vers le rein insuffisante | poumon ne soutient plus le rein";"Le Poumon (Métal) ne diffuse plus vers le Rein (Eau) — vide de Yin du Rein secondaire à un vide du Poumon."
"Syndrome";"cycle_sheng_terre_metal";"Cycle Cheng Terre → Métal brisé (Rate ne nourrit plus Poumon)";"terre ne nourrit plus metal | cycle cheng terre metal | cycle sheng terre metal | rate ne nourrit plus le poumon | terre vers metal defaillant | cascade terre metal | rate poumon cycle cheng | digestion ne soutient plus le poumon | rate ne soutient plus poumon";"La Rate (Terre) n\"
"Syndrome";"diarrhees_matinales_mingmen";"Diarrhées matinales — Ming Men (Yang Ming)";"diarrhees matinales | diarrhee au petit matin | diarrhees le matin | yang ming sans stimulus | gros intestin non active le matin | yang ming perturbe | souffles yang ne montent plus | yang ne monte pas le matin";"Diarrhées au petit matin (heure du GI) = Ming Men ne stimule plus le Yang Ming. Signe très caractéristique."
"Syndrome";"exces_yin_foyer_moyen";"Excès de Yin au Foyer Moyen (Rate chargée)";"exces yin foyer moyen | yin foyer moyen excessif | foyer moyen sature | rate surchargee | rate trop forte | rate en exces de yin | plenitude yin foyer moyen | plenitude au foyer moyen | exces de yin au foyer moyen | plenitude de yin au foyer moyen | plenitude yin au foyer moyen | plenitude de yin foyer moyen | exces de yin foyer moyen | yin en exces au foyer moyen | foyer moyen en exces de yin | exces yin au foyer moyen";"Plénitude de Yin bloque le Foyer Moyen — TRAITER EN PREMIER selon la règle des 3 Foyers."
"Syndrome";"feu_foie";"Feu du Foie / Chaleur du Foie";"feu du foie | chaleur du foie | chaleur foie | chaleur du bois | bois en chaleur | feu foie | foie en feu | foie chaud | plénitude chaleur foie | plenitude chaleur foie";"Chaleur en plénitude dans le Foie — yeux rouges, amertume buccale, constipation."
"Syndrome";"feu_monte_au_coeur";"Feu du Foie monte au Cœur";"feu monte au coeur | yang foie feu coeur | feu foie monte | bois vers feu coeur | chaleur foie coeur | foie feu coeur";"Le Feu du Foie remonte vers le Cœur via le cycle Bois→Feu — insomnie, palpitations, agitation."
"Syndrome";"humidite_rate";"Humidité envahissant la Rate";"humidite envahit la rate | humidite rate | rate envahie par l humidite | rate sature d humidite | humidite bloque la rate | rate sous l humidite | rate bloquee par l humidite | humidite obstrue rate estomac | humidite foyer moyen | rate sous charge humide | rate chargee en humidite";"Humidité bloquant la Rate — digestion lourde, lourdeur générale, enduit lingual épais."
"Syndrome";"mingmen_insuffisant";"Ming Men insuffisant — Feu de la Porte de la Vie";"ming men insuffisant | ming men eteint | feu du ming men | feu de ming men | feu du rein | feu originel insuffisant | porte de la vie | yang du rein ming men | ming men declinant | du mai insuffisant feu";"CRITIQUE : le Feu du Ming Men (VG4) est la source du Yang constitutionnel. Son insuffisance = froid profond, diarrhées matinales, impuissance."
"Syndrome";"oreille_rein_shao_yang";"Oreille interne — domaine Rein / Chao Yang";"oreille interne | oreille rein | oreille domaine rein | bourdonnements vide | bourdonnements rein | surdite vide | chao yang oreille | shao yang oreille | tr vb oreille | yang apparent irrite oreille | feu vide irrite oreille";"L\"
"Syndrome";"po_perturbe";"Po perturbé (âme corporelle — domaine Poumon)";"po perturbe | po non ancre | esprit du poumon perturbe | po agite | poumon po | ame corporelle perturbee | deuil non resolu | melancolie profonde | tristesse metal | po fragilise";"Le Po (esprit du Poumon) est perturbé — deuil non résolu, mélancolie, tristesse profonde, crispation cutanée."
"Syndrome";"rebellion_qi_estomac";"Rébellion du Qi de l\";"rebellion du qi de l estomac | qi de l estomac rebelle | qi de l estomac ne descend pas | qi estomac qui monte | estomac rebelle | estomac ne fait pas descendre | reflux qi estomac | qi rebelle estomac | nausees par blocage estomac | estomac contre courant | qi estomac en rebellion | estomac ne descend plus | descente estomac perturbee";"Le Qi de l\"
"Syndrome";"ren_mai_fragilise";"Jenn Mo (Ren Mai) fragilisé — Yin insuffisant pour ancrer";"ren mai fragilise | ren mai insuffisant | ren mai vide | jenn mo fragilise | jenn mo insuffisant | jenn mo vide | yin insuffisant pour ancrer | yin de base insuffisant | vaisseau conception fragilise | vc insuffisant";"Jenn Mo / Ren Mai (Vaisseau Conception) fragilisé — Yin de base insuffisant, Yang non ancré."
"Syndrome";"stagnation_nourriture";"Rétention de nourriture — Estomac surchargé";"retention de nourriture | stagnation de nourriture | nourriture stagnante | estomac surcharge | aliments qui stagnent | digestion bloquee | accumulation de nourriture | nourriture bloquee | estomac deborde | surchauffe digestive";"Aliments non transformés stagnant dans l\"
"Syndrome";"stagnation_qi_foie";"Stagnation de Qi du Foie";"stagnation de qi du foie | qi du foie stagnant | foie qi stagnant | stagnation qi foie | foie bloque | qi foie stagne | bois qui se bloque";"Qi du Foie stagnant — irritabilité, hypocondre douloureux, règles irrégulières."
"Syndrome";"stagnation_sang_foie";"Stagnation de Sang au Foie";"stagnation de sang au foie | stagnation sang foie | sang du foie stagnant | foie sang stagnant | stase sanguine au foie | sang bloque au foie | stagnation du sang au foie | stagnation de sang du foie | sang stagnant foie | xue stagnant foie";"Sang bloqué au niveau du Foie — hypocondre douloureux fixe, masse abdominale, règles sombres avec caillots."
"Syndrome";"tan_coeur";"Tan obstruant le Cœur (Phlegme-Feu)";"tan obstrue le coeur | phlegme coeur | flegme coeur | tan coeur | phlegme feu coeur | tan feu monte au coeur | coeur obstrue par le tan | orifices du coeur obstrues | phlegme obscurcit le coeur | tan obscurcit les orifices";"Phlegme obstruant les orifices du Cœur — confusion mentale, agitation, manie."
"Syndrome";"tan_poumon";"Tan obstruant le Poumon";"tan dans le poumon | phlegme dans le poumon | tan obstrue le poumon | poumon obstrue par le tan | phlegme poumon | tan poumon | toux avec expectorations | accumulation tan poumon | poumon envahi par le tan | tan dans le foyer superieur";"Phlegme (Tan) dans le Poumon — toux grasse avec expectorations, oppression thoracique, sifflements."
"Syndrome";"tendons_foie_vb";"Tendons / Ligaments — domaine Foie/VB";"tendons non nourris | tendons insuffisamment nourris | tendons fragiles | tendons vulnerables | ligaments non nourris | foie ne gouverne plus les tendons | tendons foie vb | tendons et ligaments insuffisants | foie vb tendons";"Les tendons sont gouvernés par le Foie (Su Wen). Insuffisance du Foie = tendons fragiles, genou vulnérable."
"Syndrome";"vent_froid_poumon";"Vent-Froid envahissant le Poumon";"vent froid poumon | vent froid envahit le poumon | invasion vent froid | poumon envahi par le vent froid | agression vent froid | vent froid en surface | poumon attaque par le vent | invasion externe poumon | poumon sous vent froid";"Invasion de Vent-Froid dans le Poumon — rhume, frissons, toux, congestion nasale."
"Syndrome";"vent_interne_foie";"Fong interne du Foie (Gan Feng Nei Dong)";"fong interne du foie | fong du foie | fong interne foie | fong foie | foie fong | fongs du foie | vent interne du foie | vent du foie | gan feng | vent interne foie | foie vent interne | pouls corde arc | vertiges fong interne | vertiges vent interne";"Fong interne du Foie (IEATC : Fong = Vent) — toujours secondaire à vide Yin/Sang du Foie ou Rein. On le disperse/expulse/chasse, jamais on ne le ""pacifie"". Pouls corde-arc caractéristique."
"Syndrome";"vide_jing_rein";"Vide de Jing / Tsing du Rein";"vide de jing du rein | jing du rein vide | tsing du rein vide | essence renale insuffisante | epuisement du jing du rein | jing rein insuffisant";"Épuisement de l\"
"Syndrome";"vide_qi_poumon";"Vide de Qi du Poumon (Métal insuffisant)";"vide de qi du poumon | vide qi poumon | poumon qi vide | poumon en vide de qi | qi du poumon vide | qi du poumon insuffisant | insuffisance qi poumon | poumon affaibli | qi pulmonaire insuffisant | metal insuffisant | vide du metal | element metal vide | souffle insuffisant | souffle affaibli | fatigue profonde poumon";"Insuffisance du Qi du Poumon — souffle court, fatigue profonde, voix faible, transpiration spontanée. Le Poumon gouverne le Qi et la respiration."
"Syndrome";"vide_sang_coeur";"Vide de Sang du Cœur";"vide de sang du coeur | sang du coeur vide | coeur sang vide | sang coeur insuffisant | coeur non nourri par le sang | sang insuffisant pour nourrir le coeur | xue du coeur vide | vide sang coeur";"Sang du Cœur insuffisant — palpitations, rêves agités, mémoire faible, visage terne."
"Syndrome";"vide_sang_foie";"Vide de Sang du Foie";"vide de sang du foie | sang du foie vide | foie sang vide | foie non nourri | foie mal nourri | sang foie insuffisant | vide sang foie | vide du foie | vide du zang foie | foie en vide | zang foie vide | foie affaibli | tsang foie vide";"Sang insuffisant dans le Foie — yeux secs, ongles cassants, règles pâles, crampes nocturnes."
"Syndrome";"vide_sang_rate";"Vide de Sang de la Rate";"vide de sang de la rate | sang de la rate vide | rate sang vide | vide sang rate | insuffisance sang rate | sang insuffisant rate | rate ne produit plus le sang | rate ne genere plus le sang";"Sang insuffisant au niveau de la Rate — digestion molle, teint terne, fatigue profonde."
"Syndrome";"vide_yang_coeur";"Vide de Yang du Cœur";"vide de yang du coeur | yang du coeur vide | coeur yang vide | vide yang coeur | insuffisance yang coeur | yang cardiaque insuffisant | coeur froid | froid thoracique | yang du coeur insuffisant";"Yang du Cœur insuffisant — froid thoracique, dyspnée, pouls profond lent, teint pâle-bleuté."
"Syndrome";"vide_yang_foie";"Vide de Yang du Foie";"vide de yang du foie | vide yang foie | foie yang vide | yang du foie vide | yang du foie insuffisant | insuffisance yang foie | foie en vide de yang | yang du bois insuffisant | bois en vide de yang";"Yang du Foie insuffisant — rare, souvent confondu avec Vide de Yang général. Froid aux hypocondres, fatigue décisionnelle, dépression froide."
"Syndrome";"vide_yang_rate";"Vide de Yang de la Rate";"vide de yang de la rate | vide yang rate | rate yang vide | yang de la rate vide | yang rate insuffisant | insuffisance yang rate | rate en vide de yang | rate froide | yang splenique insuffisant | vide yang splenique";"Yang de la Rate insuffisant — digestion froide, membres froids, diarrhées, œdèmes."
"Syndrome";"vide_yang_rein";"Vide de Yang du Rein";"vide de yang du rein | vide yang rein | yang du rein vide | yang du rein insuffisant | rein yang vide | yang rein insuffisant | vide yang rein | rein en vide de yang";"Insuffisance Yang du Rein — froid lombaire, urines claires, poils d\"
"Syndrome";"vide_yin_coeur";"Vide de Yin du Cœur";"vide de yin du coeur | yin du coeur vide | coeur yin vide | vide yin coeur | insuffisance yin coeur | coeur ne peut plus ancrer le shen | yin cardiaque vide | yin coeur insuffisant | vide de yin cardiaque";"Yin du Cœur insuffisant — insomnie, chaleur vespérale, sueurs nocturnes, palpitations, anxiété."
"Syndrome";"vide_yin_estomac";"Vide de Yin de l\";"vide de yin de l estomac | yin de l estomac vide | estomac yin vide | vide yin estomac | insuffisance yin estomac | estomac en vide de yin | yin gastrique insuffisant | estomac sec";"Yin de l\"
"Syndrome";"vide_yin_foie";"Vide de Yin du Foie";"vide de yin du foie | yin du foie vide | foie yin vide | vide yin foie | insuffisance yin foie | tendons non nourris | tendons insuffisamment nourris | foie ne nourrit plus les tendons | foie vb ne gouverne plus";"Yin du Foie insuffisant — tendons non nourris, vision trouble, chaleur du vide associée."
"Syndrome";"vide_yin_rein";"Vide de Yin du Rein";"vide de yin du rein | vide yin rein | yin du rein vide | yin du rein insuffisant | rein yin vide | rein en vide de yin | insuffisance yin du rein | yin renal insuffisant | eau insuffisante | vide profond de l eau | vide de yin rein";"Insuffisance Yin du Rein — cause profonde du Yang du Foie montant et du Yang apparent (Feu apparent). Traiter en premier."
"Syndrome";"yang_apparent_foie";"Yang apparent du Foie (Faux Yang — Vide de Yin sous-jacent)";"yang apparent du foie | yang apparent foie | faux yang foie | yang flottant foie | yang non ancre foie | yang du foie non ancre | yang apparent de foie";"Yang du Foie non ancré qui monte — secondaire à vide de Yin du Foie ou du Rein. Traiter le Yin en premier."
"Syndrome";"yi_perturbe";"Yi perturbé (intellect — domaine Rate)";"yi perturbe | yi insuffisant | esprit de la rate perturbe | intellectualite perturbee | rate yi | rumination pathologique | pensees circulaires | idees fixes | yi fragilise";"Le Yi (intellect de la Rate) est perturbé — ruminations, idées fixes, pensées circulaires, obsessions."
"Syndrome";"zhi_perturbe";"Zhi perturbé (volonté — domaine Rein)";"zhi perturbe | zhi insuffisant | esprit du rein perturbe | volonte affaiblie | rein zhi | zhi vide | manque de volonte profond | peur chronique envahissante | peur pathologique rein";"Le Zhi (volonté du Rein) est perturbé — manque de volonté, peur chronique, incapacité à avancer."
"Localisation / Organe";"foyer_inferieur";"Foyer Inférieur";"foyer inferieur";
"Localisation / Organe";"foyer_moyen";"Foyer Moyen";"foyer moyen";
"Localisation / Organe";"jue_yin";"Tsiué Yin (Foie + MC)";"tsieu yin | tsiue yin | jue yin | tjue yin | jue-yin";
"Localisation / Organe";"shao_yin";"Chao Yin (Rein + Cœur)";"chao yin | shao yin";
"Localisation / Organe";"tai_yang";"Taé Yang (Vessie + IG)";"tae yang | tai yang";
"Localisation / Organe";"tai_yin";"Taé Yin (Rate + Poumon)";"tae yin | tai yin";
"Localisation / Organe";"yang_ming";"Yang Ming (E + GI)";"yang ming | yan ming";
"Élément 5E";"element_bois";"Bois (Foie / VB)";"element bois | bois element";
"Élément 5E";"element_feu";"Feu (Cœur / IG)";"element feu | feu element";
"Élément 5E";"element_metal";"Métal (Poumon / GI)";"element metal | metal element";
"Élément 5E";"element_terre";"Terre (Rate / Estomac)";"element terre | terre element";
"Stratégie thérapeutique";"calmer_bois";"Calmer le Bois (Foie/VB en excès)";"calmer le bois | calmer le foie | disperser le bois | apaiser le bois | drainer le foie";
"Stratégie thérapeutique";"consolider_terre";"Consolider la Terre (Rate/Estomac)";"consolider la terre | soutenir la rate | consolider rate estomac | soutenir la rate estomac | tonifier la rate";
"Stratégie thérapeutique";"corriger_cycle_rae";"Corriger un cycle Raé (Ko inversé / Rébellion)";"cycle rae | rae | ko inverse | rebellion du cycle ko | cycle ko inverse | element rebelle | rébellion element | corriger le cycle rae | traiter le cycle rae | contre-attaque cycle ko";"Cycle Raé = Ko inversé : l\"
"Stratégie thérapeutique";"debloquer_cycles_cheng";"Débloquer les cycles Cheng (global)";"debloquer les cycles cheng | debloquer les cycles sheng | cycle d engendrement | cycle nourricier | relancer le cycle nourricier | debloquer le cycle nourricier | faire circuler le cycle cheng | harmoniser les cycles cheng | debloquer le cycle d engendrement";"Action globale sur le cycle nourricier (Cheng/Sheng) — sans cibler un élément spécifique."
"Stratégie thérapeutique";"disperser_fong";"Disperser / Expulser le Fong interne";"disperser le fong | expulser le fong | chasser le fong | faire sortir le fong | fong disperser | fong interne | disperser les fong | expulser les fong | chasser les fong | faire sortir les fong | disperser les fongs | expulser les fongs | disperser le vent | expulser le vent | chasser le vent | faire sortir le vent | disperser le vent interne | expulser le vent interne | chasser le vent interne | faire sortir le vent interne | pacifier le vent interne | calmer le vent interne";"IEATC : le Vent s\"
"Stratégie thérapeutique";"disperser_foyer_moyen";"Disperser le Foyer Moyen (excès de Yin)";"disperser le foyer moyen | lever l exces de yin au foyer moyen | lever l exces yin foyer moyen | disperser la plenitude du foyer moyen | vider le foyer moyen | abaisser le foyer moyen | faire circuler le foyer moyen | debloquer le foyer moyen | faire circuler le rechauffeur moyen | debloquer le rechauffeur moyen";"RÈGLE DES 3 FOYERS : traiter le Foyer Moyen plein AVANT le Foyer Inférieur vide."
"Stratégie thérapeutique";"disperser_oe";"Disperser l\";"disperser l oe | disperser l oe locale | disperser l oe en exces | dispersion oe | vider l oe locale";
"Stratégie thérapeutique";"disperser_yang_foie";"Disperser / Abaisser le Yang du Foie";"disperser le yang du foie | abaisser le yang du foie | disperser yang foie | descendre le yang du foie | calmer le yang du foie | yang foie dispersé";"Traitement secondaire — toujours après avoir nourri le Yin du Rein (R4)."
"Stratégie thérapeutique";"equilibrer_yy";"Équilibrer le Yin/Yang général";"equilibrer le yin yang | traiter le yy | traiter le yin yang general | equilibre yin yang | yin yang general | yy general";"Étape 1 du protocole IEATC — toujours en premier."
"Stratégie thérapeutique";"harmoniser_foie_rate";"Harmoniser Foie / Rate (Bois-Terre)";"harmoniser le foie et la rate | harmoniser foie rate | calmer le foie soutenir la rate | bois terre harmonisation | harmoniser bois terre | lever l agression foie rate | foie rate dysharmonie | dysharmonie foie rate | harmoniser le bois et la terre";"Dysharmonie Foie-Rate = Bois qui attaque la Terre (Ko pathologique courant). Harmoniser = calmer le Foie + tonifier la Rate."
"Stratégie thérapeutique";"lever_humidite";"Lever l\";"lever l humidite | disperser l humidite | drainer l humidite | eliminer l humidite | dispersion humidite | drainage humidite";
"Stratégie thérapeutique";"liberer_meridien";"Libérer / Débloquer le méridien";"liberer le meridien | debloquer le meridien | lever l obstruction meridienne | liberer la circulation meridienne | ouvrir le meridien";
"Stratégie thérapeutique";"nourrir_sang";"Nourrir le Sang";"nourrir le sang | tonifier le sang | soutenir le sang | nourrir le xue";
"Stratégie thérapeutique";"nourrir_sang_coeur";"Nourrir le Sang du Cœur";"nourrir le sang du coeur | nourrir sang coeur | tonifier le sang du coeur | soutenir le sang du coeur | nourrir le coeur en sang";
"Stratégie thérapeutique";"nourrir_yin_estomac";"Nourrir le Yin de l\";"nourrir le yin de l estomac | nourrir yin estomac | tonifier le yin de l estomac | humidifier l estomac | nourrir les liquides de l estomac | yin gastrique";
"Stratégie thérapeutique";"nourrir_yin_foie";"Nourrir le Yin du Foie";"nourrir le yin du foie | nourrir yin foie | tonifier le yin du foie | soutenir le yin du foie | yin du foie tonifie | nourrir le foie yin | yin foie | nourrir le bois yin";"Distinct du Yin du Rein. Le Yin du Foie nourrit le Sang et ancre le Yang du Foie."
"Stratégie thérapeutique";"nourrir_yin_poumon";"Nourrir le Yin du Poumon";"nourrir le yin du poumon | nourrir yin poumon | tonifier le yin du poumon | humidifier le poumon | nourrir le metal yin | yin poumon tonifie | humidifier les muqueuses respiratoires";
"Stratégie thérapeutique";"nourrir_yin_rein";"Nourrir le Yin du Rein";"nourrir le yin du rein | nourrir yin rein | tonifier le yin du rein | soutenir le yin du rein | yin du rein tonifie | nourrir l eau | nourrir la base yin | travailler sur rein yin | nourrir le rein yin | rein yin | yin du rein";"Stratégie indirecte pour le Yang du Foie montant — traiter la cause, pas le symptôme."
"Stratégie thérapeutique";"pacifier_shen";"Pacifier le Shen (Cœur)";"pacifier le shen | calmer le shen | shen pacifie | apaiser le coeur | calmer le coeur | soutenir le coeur";
"Stratégie thérapeutique";"purgation";"Méthode purgation (Xia Fa)";"purgation | xia fa | methode purgation | purger | evacuer par le bas | traitement par purgation | purger les intestins";"Xia Fa = méthode de purgation — évacue les facteurs pathogènes par le bas."
"Stratégie thérapeutique";"rechauffer_rate";"Réchauffer la Rate / Foyer Moyen";"rechauffer la rate | rechauffer le foyer moyen | rechauffer rate estomac | rechauffement rate | apporter yang a la rate | yang pour rechauffer la rate | rechauffer le rechauffeur moyen | rechauffer la terre";
"Stratégie thérapeutique";"relancer_cycle_sheng";"Relancer le cycle Cheng Eau → Bois";"relancer le cycle cheng | relancer le cycle sheng | nourrir l eau pour relancer le bois | relancer cycle cheng | relancer cycle sheng | relancer cheng eau bois | relancer sheng eau bois | nourrir eau pour bois | relancer l eau et le bois | debloquer le bois | faire circuler le bois | debloquer eau bois | relancer l eau vers le bois";"Le Rein (Eau) nourrit le Foie (Bois) — Cycle Cheng nourricier."
"Stratégie thérapeutique";"relancer_cycle_sheng_bois_feu";"Relancer le cycle Cheng Bois → Feu";"relancer cycle cheng bois feu | relancer cycle sheng bois feu | relancer bois feu | nourrir le bois pour le feu | soutenir le bois pour le coeur | relancer bois vers feu | debloquer le feu | faire circuler le feu | debloquer bois feu | foie nourrit coeur";"Le Foie (Bois) nourrit le Cœur (Feu) — Cycle Cheng nourricier."
